year,month,day,event,isHoliday
1394,3,30,درگذشت ژرژ لومتر کشیش و فیزیکدان بلژیکی,0
1394,3,31,شهادت دکتر مصطفی چمران,0
1394,4,1,جشن آب پاشونک,0
1394,4,1,روز اصناف,0
1394,4,1,درگذشت ابن سینا فیلسوف,0
1394,4,1,درگذشت غیاث‌الدین جمشید کاشانی ریاضیدان و اخترشناس ایرانی,0
1394,4,2,زادروز آلن تورینگ,0
1394,4,3,درگذشت ابن سینا پزشک و فیلسوف ایرانی,0
1394,4,3,زادروز فرد هویل ستاره‌شناس بریتانیایی,0
1394,4,4,زادروز آنتونیو گائودی کُرنت معمار کاتالان,0
1394,4,5,روز جهانی مبارزه با مواد مخدر,0
1394,4,5,درگذشت میرزا احمد آشتیانی فقیه,0
1394,4,5,زادروز لرد کلوین,0
1394,4,6,درگذشت سوفی ژرمن ریاضی‌دان,0
1394,4,7,انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و 72 نفر از اعضای حزب؛ روز قوه قضاییه,0
1394,4,7,زادروز ژان پی‌یر اوئل نقاش فرانسوی,0
1394,4,8,روز مبارزه با سلاح های شیمیایی و میکروبی,0
1394,4,8,زادروز آنتوان دو سنت‌اگزوپری نویسنده و خلبان فرانسوی,0
1394,4,8,درگذشت توماس هنری هاکسلی,0
1394,4,9,درگذشت جان استرات,0
1394,4,10,روز صنعت و معدن,0
1394,4,10,ژان ویکتور پونسله ریاضی‌دان و بنیادگذار هندسه تحلیلی اهل فرانسوی,0
1394,4,10,درگذشت لویی فردینان سلین نویسنده فرانسوی,0
1394,4,11,ولادت امام حسن مجتبی علیه السلام,0
1394,4,11,درگذشت کیخسرو شاهرخ,0
1394,4,11,درگذشت داگلاس انگلبارت مخترع آمریکایی موشواره,0
1394,4,13,تیر روز,0
1394,4,13,زادروز فرشید مثقالی مجسمه‌ساز,0
1394,4,14,روز قلم,0
1394,4,14,شب قدر,0
1394,4,14,درگذشت آلبرشت کوسل زیست‌شناس آلمانی,0
1394,4,15,جشن خام خواری,0
1394,4,15,ضربت خوردن حضرت علی علیه السلام,0
1394,4,15,درگذشت ویلیام فاکنر,0
1394,4,15,زادروز دالایی لامای چهاردهم,0
1394,4,16,زادروز کامیلو گولگی زیست‌شناس ایتالیایی,0
1394,4,16,درگذشت یوهانا اشپیری نویسنده داستان‌های کودکان,0
1394,4,17,شهادت حضرت علی علیه السلام,1
1394,4,17,درگذشت کارو لوکس,0
1394,4,17,زادروز پیوتر کاپیتسا فیزیک‌دان روسی مولداوی,0
1394,4,18,شب قدر,0
1394,4,18,درگذشت ژرژ باتای فیلسوف فرانسوی,0
1394,4,18,درگذشت آمادئو آووگادرو دانشمند ایتالیایی,0
1394,4,19,زادروز نیکولا تسلا مخترع و فیزیکدان آمریکایی,0
1394,4,19,درگذشت یوهان گوتفرید گاله ستاره‌شناس آلمانی,0
1394,4,20,زادروز تئودور میمن فیزیک‌دان آمریکایی و سازندهٔ اولین لیزر در جهان,0
1394,4,20,درگذشت جوزپه آرچیمبولدو نقاش ایتالیایی,0
1394,4,21,زادروز ملاله یوسف‌زی,0
1394,4,21,درگذشت مریم میرزاخانی,0
1394,4,22,زادروز عباس زریاب خویی,0
1394,4,22,درگذشت مهدی حمیدی شیرازی,0
1394,4,23,زادروز گوستاو کلیمت نقاش نمادگرای اتریشی,0
1394,4,23,درگذشت خاسینتو بناونته نمایش‌نامه‌نویس اسپانیایی,0
1394,4,24,درگذشت آنتون چخوف,0
1394,4,25,روز بهزیستی و تامین اجتماعی,0
1394,4,25,زادروز روئال آمونسن,0
1394,4,25,درگذشت هاینریش بل نویسنده آلمانی,0
1394,4,26,درگذشت آنری پوانکاره ریاضیدان,0
1394,4,27,اعلام پذیرش قطعنامه 598 شورای امنیت از سوی ایران,0
1394,4,27,عید سعید فطر,1
1394,4,27,زادروز هندریک لورنتز فیزیکدان هلندی,0
1394,4,27,زادروز نلسون ماندلا از فعّالان برجستهٔ مخالف آپارتاید در آفریقای جنوبی,0
1394,4,28,تعطیل به مناسبت عید سعید فطر,1
1394,4,28,زادروز ادگار دگا نقاش فرانسوی,0
1394,4,28,درگذشت فرانک مک‌کورت نویسندهٔ آمریکایی,0
1394,4,29,زادروز اریک آکسل کارلفلدت شاعر سوئدی,0
1394,4,29,درگذشت گولیلمو مارکونی مهندس برق اهل ایتالیا,0
1394,4,30,زادروز مارشال مک‌لوهان فیلسوف کانادایی,0
1394,4,30,زادروز ارنست همینگوی نویسندهٔ آمریکایی,0
1394,4,31,زادروز گوستاو هرتز فیزیکدان آلمانی,0
1394,4,31,درگذشت کارل سندبرگ شاعر,0
1394,5,1,درگذشت دیوید وارک گریفیث,0
1394,5,1,درگذشت ویلیام رمزی شیمیدان اسکاتلندی,0
1394,5,2,زادروز هنریک پونتوپیدان نویسنده دانمارکی,0
1394,5,2,درگذشت ایزاک بشویس سینگر داستان‌نویس آمریکایی,0
1394,5,3,زادروز الیاس کانتی رمان‌نویس سوئیسی,0
1394,5,4,افتتاح بزرگترین پالایشگاه نفت سنگین جهان در بندرعباس,0
1394,5,4,زادروز جرج برنارد شاو,0
1394,5,4,درگذشت گوتلوب فرگه ریاضیدان,0
1394,5,5,زادروز یوهان برنولی ریاضیدان اهل سوییس,0
1394,5,6,روز ترویج آموزش های فنی و حرفه ای,0
1394,5,7,مرداد روز,0
1394,5,7,درگذشت ونسان ون گوگ نقاش هلندی,0
1394,5,8,روز بزرگداشت شیخ شهاب الدین سهروردی,0
1394,5,9,سالروز اهدای خون در ایران,0
1394,5,10,جشن چله تابستان,0
1394,5,10,آغاز هفته جهانی شیردهی,0
1394,5,10,زادروز ژان باتیست لامارک زیست‌شناس فرانسوی,0
