year,month,day,event,isHoliday
1396,3,16,درگذشت گرهارد هاوپتمان نمایشنامه‌نویس آلمانی، برندهٔ جایزه نوبل ادبیات ۱۹۱۲ میلادی,0
1396,3,17,زادروز فیلیپ لنارت فیزیکدان آلمانی مجاری‌تبار، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۵,0
1396,3,17,زادروز اورهان پاموک رمان‌نویس اهل کشور ترکیه، برندهٔ جایزه ادبیات نوبل سال ۲۰۰۶,0
1396,3,18,زادروز فرانسیس کریک، بیوفیزیست انگلیسی، از کاشفان ساختار مولکول دی‌ان‌ای، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۶۲,0
1396,3,18,درگذشت ژرژ ساند رمان‌نویس، نمایشنامه‌نویس، روزنامه‌نگار، اصلاح‌طلب اجتماعی و خاطره‌نگار انگلیسی,0
1396,3,19,زادروز برتا سوتنر رمان‌نویس، فعال صلح‌طلب اهل اتریش، نخستین زن برندهٔ جایزه صلح نوبل,0
1396,3,19,درگذشت آدولف وینداوس شیمیدان، طبیعی شناس آلمانی، برندهٔ جایزهٔ نویل شیمی ۱۹۲۸,0
1396,3,20,روز جهانی صنایع دستی,0
1396,3,20,ولادت امام حسن مجتبی علیه السلام,0
1396,3,20,زادروز گوستاو کوربه نقاش فرانسوی، رهبر جنبش واقع‌گرایی در نقاشی,0
1396,3,21,زادروز ریشارد اشتراوس، موسیقی‌دان و رهبر ارکستر آلمانی,0
1396,3,21,درگذشت کلمنس ونتسل فون مترنیخ سیاستمدار اتریشی,0
1396,3,22,روز جهانی مبارزه با کار کودکان,0
1396,3,22,زادروز اگون شیله نقاش اتریشی,0
1396,3,23,شب قدر,0
1396,3,23,درگذشت ویلیام نولز شیمیدان آمریکایی، برنده جایزه نوبل شیمی ۲۰۰۱,0
1396,3,23,زادروز جان فوربز نش ریاضیدان آمریکایی، برنده جایزه نوبل اقتصاد سال۱۹۹۴,0
1396,3,24,ضربت خوردن حضرت علی علیه السلام,0
1396,3,24,روز جهانی اهدای خون,0
1396,3,25,روز ملی گل وگیاه,0
1396,3,25,درگذشت وندل مردیت استنلی بیوشیمیست و ویروس‌شناس آمریکایی، برنده جایزه نوبل شیمی سال ۱۹۴۷,0
1396,3,26,شهادت حضرت علی علیه السلام,1
1396,3,26,زادروز توران میرهادی استاد ادبیات کودک، نویسنده و کارشناس آموزش و پرورش و شخصیت برجسته فرهنگی,0
1396,3,26,زادروز باربارا مک‌کلینتوک دانشمند آمریکایی، برندهٔ جایزه نوبل پزشکی سال ۱۹۸۳,0
1396,3,27,روز جهاد کشاورزی,0
1396,3,27,روز جهانی بیابان زدایی,0
1396,3,27,شب قدر,0
1396,3,27,درگذشت جلیل شهناز، از سرشناس‌ترین نوازندگان تار و سه تار سدهٔ اخیر در ایران,0
1396,3,28,درگذشت پل کارر شیمیدان سوئیسی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۷,0
1396,3,28,زادروز چارلز لاورن زیست‌شناس فرانسوی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی در سال ۱۹۰۷,0
1396,3,29,درگذشت دکتر علی شریعتی,0
1396,3,29,زادروز آنگ سان سو چی فعال سیاسی، مدافع حقوق بشر، برنده جایزه صلح نوبل سال ۱۹۹۱,0
1396,3,29,درگذشت ویلیام گلدینگ شاعر و رمان‌نویس بریتانیایی، برندهٔ جایزه نوبل ادبیات در ۱۹۸۳,0
1396,3,30,درگذشت ژرژ لومتر کشیش و فیزیکدان بلژیکی,0
1396,3,31,شهادت دکتر مصطفی چمران,0
1396,4,1,جشن آب پاشونک، جشن آغاز تابستان,0
1396,4,1,روز اصناف,0
1396,4,1,درگذشت ابن سینا فیلسوف، پزشک و دانشمند نامدار ایرانی,0
1396,4,1,درگذشت غیاث‌الدین جمشید کاشانی ریاضیدان و اخترشناس ایرانی,0
1396,4,2,زادروز آلن تورینگ، ریاضی‌دان، منطق‌دان، و رمزنگار بریتانیایی، دانشمند علوم رایانه,0
1396,4,3,درگذشت ابن سینا پزشک و فیلسوف ایرانی,0
1396,4,3,زادروز فرد هویل ستاره‌شناس بریتانیایی,0
1396,4,4,زادروز آنتونیو گائودی کُرنت معمار کاتالان، از بزرگ‌ترین معماران دو قرن اخیر,0
1396,4,5,روز جهانی مبارزه با مواد مخدر,0
1396,4,5,عید سعید فطر,1
1396,4,5,درگذشت میرزا احمد آشتیانی فقیه، فیلسوف شیعی ایرانی,0
