event,event_key
درگذشت گرهارد هاوپتمان نمایشنامه‌نویس آلمانی، برندهٔ جایزه نوبل ادبیات ۱۹۱۲ میلادی,درگذشت گرهارد هاوپتمان نمایشنامه‌نویس آلمانی، برندهٔ جایزه نوبل ادبیات ۱۹۱۲ میلادی
زادروز فیلیپ لنارت فیزیکدان آلمانی مجاری‌تبار، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۵,زادروز فیلیپ لنارت فیزیکدان آلمانی مجاری‌تبار، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۵
زادروز اورهان پاموک رمان‌نویس اهل کشور ترکیه، برندهٔ جایزه ادبیات نوبل سال ۲۰۰۶,زادروز اورهان پاموک رمان‌نویس اهل کشور ترکیه، برندهٔ جایزه ادبیات نوبل سال ۲۰۰۶
زادروز فرانسیس کریک، بیوفیزیست انگلیسی، از کاشفان ساختار مولکول دی‌ان‌ای، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۶۲,زادروز فرانسیس کریک، بیوفیزیست انگلیسی، از کاشفان ساختار مولکول دی‌ان‌ای، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۶۲
درگذشت ژرژ ساند رمان‌نویس، نمایشنامه‌نویس، روزنامه‌نگار، اصلاح‌طلب اجتماعی و خاطره‌نگار انگلیسی,درگذشت ژرژ ساند رمان‌نویس، نمایشنامه‌نویس، روزنامه‌نگار، اصلاح‌طلب اجتماعی و خاطره‌نگار انگلیسی
زادروز برتا سوتنر رمان‌نویس، فعال صلح‌طلب اهل اتریش، نخستین زن برندهٔ جایزه صلح نوبل,زادروز برتا سوتنر رمان‌نویس، فعال صلح‌طلب اهل اتریش، نخستین زن برندهٔ جایزه صلح نوبل
درگذشت آدولف وینداوس شیمیدان، طبیعی شناس آلمانی، برندهٔ جایزهٔ نویل شیمی ۱۹۲۸,درگذشت آدولف وینداوس شیمیدان، طبیعی شناس آلمانی، برندهٔ جایزهٔ نویل شیمی ۱۹۲۸
روز جهانی صنایع دستی,روز جهانی صنایع دستی
زادروز گوستاو کوربه نقاش فرانسوی، رهبر جنبش واقع‌گرایی در نقاشی,زادروز گوستاو کوربه نقاش فرانسوی، رهبر جنبش واقع‌گرایی در نقاشی
ولادت امام علی النقی الهادی علیه السلام,ولادت امام علی النقی الهادی علیه السلام
زادروز ریشارد اشتراوس، موسیقی‌دان و رهبر ارکستر آلمانی,زادروز ریشارد اشتراوس، موسیقی‌دان و رهبر ارکستر آلمانی
درگذشت کلمنس ونتسل فون مترنیخ سیاستمدار اتریشی,درگذشت کلمنس ونتسل فون مترنیخ سیاستمدار اتریشی
روز جهانی مبارزه با کار کودکان,روز جهانی مبارزه با کار کودکان
زادروز اگون شیله نقاش اتریشی,زادروز اگون شیله نقاش اتریشی
درگذشت ویلیام نولز شیمیدان آمریکایی، برنده جایزه نوبل شیمی ۲۰۰۱,درگذشت ویلیام نولز شیمیدان آمریکایی، برنده جایزه نوبل شیمی ۲۰۰۱
زادروز جان فوربز نش ریاضیدان آمریکایی، برنده جایزه نوبل اقتصاد سال۱۹۹۴,زادروز جان فوربز نش ریاضیدان آمریکایی، برنده جایزه نوبل اقتصاد سال۱۹۹۴
عید سعید غدیر خم,عید سعید غدیر خم
روز جهانی اهدای خون,روز جهانی اهدای خون
روز ملی گل وگیاه,روز ملی گل وگیاه
درگذشت وندل مردیت استنلی بیوشیمیست و ویروس‌شناس آمریکایی، برنده جایزه نوبل شیمی سال ۱۹۴۷,درگذشت وندل مردیت استنلی بیوشیمیست و ویروس‌شناس آمریکایی، برنده جایزه نوبل شیمی سال ۱۹۴۷
ولادت امام موسی کاظم علیه السلام,ولادت امام موسی کاظم علیه السلام
زادروز توران میرهادی استاد ادبیات کودک، نویسنده و کارشناس آموزش و پرورش و شخصیت برجسته فرهنگی,زادروز توران میرهادی استاد ادبیات کودک، نویسنده و کارشناس آموزش و پرورش و شخصیت برجسته فرهنگی
زادروز باربارا مک‌کلینتوک دانشمند آمریکایی، برندهٔ جایزه نوبل پزشکی سال ۱۹۸۳,زادروز باربارا مک‌کلینتوک دانشمند آمریکایی، برندهٔ جایزه نوبل پزشکی سال ۱۹۸۳
روز جهاد کشاورزی,روز جهاد کشاورزی
روز جهانی بیابان زدایی,روز جهانی بیابان زدایی
