event,event_key
نپتون هشتمین سیاره سامانه خورشیدی، برای نخستین بار توسط «یوهان گوتفرید گاله» رصد شد، وجود این سیاره پیشتر توسط دو دانشمند، با محاسبات ریاضی اثبات شده بود.,نپتون هشتمین سیاره سامانه خورشیدی، برای نخستین بار توسط «یوهان گوتفرید گاله» رصد شد، وجود این سیاره پیشتر توسط دو دانشمند، با محاسبات ریاضی اثبات شده بود.
درگذشت زیگموند فروید عصب‌شناس اتریشی و پایه‌گذار مکتب روان‌کاوی,درگذشت زیگموند فروید عصب‌شناس اتریشی و پایه‌گذار مکتب روان‌کاوی
سالروز آغاز حمله مغول به ایران,آغاز حمله مغول به ایران در پاییز 598 خورشیدی
هوندا شرکت بزرگ ژاپنی تولیدکنندهٔ موتورسیکلت و بعدها خودرو، در این روز رسماً آغاز به کار کرد.,هوندا شرکت بزرگ ژاپنی تولیدکنندهٔ موتورسیکلت و بعدها خودرو، در این روز رسماً آغاز به کار کرد.
نیوکمپ، بزرگترین ورزشگاه اروپا و ورزشگاه اختصاصی باشگاه بارسلونای اسپانیا در این روز افتتاح شد.,نیوکمپ، بزرگترین ورزشگاه اروپا و ورزشگاه اختصاصی باشگاه بارسلونای اسپانیا در این روز افتتاح شد.
درگذشت میرزا تورسون‌زاده قهرمان ملی ،شاعر و سیاستمدار برجسته‌ی اهل تاجیکستان,درگذشت میرزا تورسون‌زاده قهرمان ملی ،شاعر و سیاستمدار برجسته‌ی اهل تاجیکستان
زادروز پدرو آلمودوار کارگردان، فیلم‌نامه‌نویس و تهیه‌کننده‌ی اسپانیایی,زادروز پدرو آلمودوار کارگردان، فیلم‌نامه‌نویس و تهیه‌کننده‌ی اسپانیایی
زادروز ویلیام فاکنر نویسندهٔ آمریکایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۴۹، صاحب آثاری چون خشم و هیاهو، روشنایی ماه اوت و آبشالوم، آبشالوم!,زادروز ویلیام فاکنر نویسندهٔ آمریکایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۴۹، صاحب آثاری چون خشم و هیاهو، روشنایی ماه اوت و آبشالوم، آبشالوم!
انحلال حزب رستاخیز,انحلال حزب رستاخیز
درگذشت اریش ماریا رمارک نویسندهٔ آلمانی، خالق رمان در جبهه غرب خبری نیست,درگذشت اریش ماریا رمارک نویسندهٔ آلمانی، خالق رمان در جبهه غرب خبری نیست
ارائه نظریه نسبیت خاص توسط آلبرت انیشتین,ارائه نظریه نسبیت خاص توسط آلبرت انیشتین
زادروز ایوان پاولف عصب‌شناس، فیزیولوژیست، روان‌شناس و پزشک روس، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۰۴,زادروز ایوان پاولف عصب‌شناس، فیزیولوژیست، روان‌شناس و پزشک روس، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۰۴
زادروز تی. اس. الیوت شاعر، نمایشنامه‌نویس و منتقد آمریکایی,زادروز تی. اس. الیوت شاعر، نمایشنامه‌نویس و منتقد آمریکایی
زادروز مارتین هایدگر فیلسوف آلمانی,زادروز مارتین هایدگر فیلسوف آلمانی
نخستین پرواز هواپیمای پهن پیکر بوئینگ ۷۶۷,نخستین پرواز هواپیمای پهن پیکر بوئینگ ۷۶۷
تأسیس باشگاه فوتبال استقلال (تاج),تأسیس باشگاه فوتبال استقلال (تاج)
روز جهانی جهانگردی,روز جهانی جهانگردی
فرمول «هم‌ارزی جرم و انرژی» (E=mc۲) یکی از مشهورترین معادله‌ها در علم فیزیک، توسط آلبرت اینشتین انتشار یافت.,فرمول «هم‌ارزی جرم و انرژی» (E=mc۲) یکی از مشهورترین معادله‌ها در علم فیزیک، توسط آلبرت اینشتین انتشار یافت.
در جریان جنگ جهانی دوم و حمله نیروهای آلمان نازی به ورشو پایتخت لهستان، این شهر پس از ۱۹ روز مقاومت، تسلیم نیروهای آلمان شد.,در جریان جنگ جهانی دوم و حمله نیروهای آلمان نازی به ورشو پایتخت لهستان، این شهر پس از ۱۹ روز مقاومت، تسلیم نیروهای آلمان شد.
طالبان با تصرف کابل پایتخت افغانستان، ایجاد یک «دولت اسلامی» در آن کشور را اعلام کردند و نجیب‌الله رئیس دولت کمونیستی سابق افغانستان، توسط آنان به دار آویخته شد.,طالبان با تصرف کابل پایتخت افغانستان، ایجاد یک «دولت اسلامی» در آن کشور را اعلام کردند و نجیب‌الله رئیس دولت کمونیستی سابق افغانستان، توسط آنان به دار آویخته شد.
اعدام سید مهدی هاشمی به جرم توطئه علیه نظام و بانی فاش ساختن رسوایی ایران-کنترا,اعدام سید مهدی هاشمی به جرم توطئه علیه نظام و بانی فاش ساختن رسوایی ایران-کنترا
تصویب قانون اساسی جمهوری پنجم فرانسه، نظام کنونی این کشور، با نظر مثبت بیش از ۸۲ درصد رای‌دهندگان,تصویب قانون اساسی جمهوری پنجم فرانسه، نظام کنونی این کشور، با نظر مثبت بیش از ۸۲ درصد رای‌دهندگان
درگذشت جمال عبدالناصر رئیس‌جمهور مصر از ۱۹۵۶ تا هنگام مرگ,درگذشت جمال عبدالناصر رئیس‌جمهور مصر از ۱۹۵۶ تا هنگام مرگ
درگذشت ادوین هابل دانشمند اخترشناس آمریکایی,درگذشت ادوین هابل دانشمند اخترشناس آمریکایی
زادروز کنفوسیوس مشهورترین آموزگار، فیلسوف کشور چین,زادروز کنفوسیوس مشهورترین آموزگار، فیلسوف کشور چین
درگذشت لویی پاستور شیمی‌دان و زیست‌شناس مشهورفرانسوی,درگذشت لویی پاستور شیمی‌دان و زیست‌شناس مشهورفرانسوی
روز آتش نشانی و ایمنی,روز آتش نشانی و ایمنی
سالروز سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا),سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال 1360
تأسیس اسکاتلندیارد، به عنوان مرکز پلیس لندن,تأسیس اسکاتلندیارد، به عنوان مرکز پلیس لندن
زادروز میگل دِ سِروانتِس رمان‌نویس، نمایشنامه‌نویس و شاعر مشهور اسپانیایی و خالق یکی از بزرگترین شاهکارهای ادبی جهان «دون کیشوت»,زادروز میگل دِ سِروانتِس رمان‌نویس، نمایشنامه‌نویس و شاعر مشهور اسپانیایی و خالق یکی از بزرگترین شاهکارهای ادبی جهان «دون کیشوت»
درگذشت رودلف دیزل مخترع و مهندس مکانیک آلمانی، مخترع موتور دیزل,درگذشت رودلف دیزل مخترع و مهندس مکانیک آلمانی، مخترع موتور دیزل
درگذشت امیل زولا نویسندهٔ فرانسوی,درگذشت امیل زولا نویسندهٔ فرانسوی
زادروز انریکو فرمی فیزیکدان آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۳۸,زادروز انریکو فرمی فیزیکدان آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۳۸
روزبزرگداشت مولوی,روزبزرگداشت مولوی
روز جهانی ناشنوایان,روز جهانی ناشنوایان
ولادت امام حسن عسکری علیه السلام,ولادت امام حسن عسکری علیه السلام
روز جهانی ترجمه و مترجم,روز جهانی ترجمه و مترجم
درگذشت جیمز دین بازیگر آمریکایی,درگذشت جیمز دین بازیگر آمریکایی
سالروز «قتل عام بابی یار» و کشتار ۳۳٬۷۷۱ یهودی به‌دست یک واحد ویژهٔ «اس اس» آلمان نازی در دره ای به نام «بابی یار» در حد فاصل شمالی شهر کی‌اف در اوکراین,سالروز «قتل عام بابی یار» و کشتار ۳۳٬۷۷۱ یهودی به‌دست یک واحد ویژهٔ «اس اس» آلمان نازی در دره ای به نام «بابی یار» در حد فاصل شمالی شهر کی‌اف در اوکراین
زادروز ژان باپتیست پرَن فیزیکدان فرانسوی، برندهٔ جایزه نوبل سال ۱۹۲۶,زادروز ژان باپتیست پرَن فیزیکدان فرانسوی، برندهٔ جایزه نوبل سال ۱۹۲۶
درگذشت چارلز فرانسیس ریشتر زلزله شناس آمریکایی,درگذشت چارلز فرانسیس ریشتر زلزله شناس آمریکایی
